D1118,ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།
D1119,དཔེ་མེད་པར་བསྟོད་པ།
D1120,འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།
D1121,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།
D1122,དོན་དམ་པར་བསྟོད་པ།
D1123,སྐུ་གསུམ་ལ་བསྟོད་པ།
D1124,སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།
D1125,སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།
D1127,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།
D1128,བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།
D1129,བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།
D1130,བླ་ན་མེད་པའི་བསྟོད་པ།
D1131,འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།
D1132,རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།
D1133,གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།
D1135,མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།
D1136,ཕྱག་འཚལ་བའི་བསྟོད་པ།
D1137,དམྱལ་བ་ནས་འདོན་པའི་བསྟོད་པ།
D1206,དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ།
D1609,མཆན་ཁུང་གི་སྦྱོར་བ།
D1683,སྒྲོལ་མ་རྒྱ་མཚོའི་རྒྱུད་ནས་ཕྱུང་བའི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།
D1684,རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ།
