[༄༅༅། །​_83_],༄༅༅། །​_83_,༄༅༅། །​_83_,༄༅༅། །​_83_,༄༅༅། །​_83_,༄༅། །​_16_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[བཛྲ་_100_],བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_
[ཡཱ་_100_],ཡཱ་_100_,ཡཱ་_100_,ཡཱ་_100_,ཡཱ་_100_,ཡཱ་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[སྠཱུ་_100_],སྠཱུ་_100_,སྠཱུ་_100_,སྠཱུ་_100_,སྠཱུ་_100_,སྠཱུ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[པཏྟི_66_],པཏྟི_66_,པ་ཏི_33_,པ་ཏི_33_,པཏྟི_66_,པཏྟི_66_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[རྡོ་_100_],རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
[ཐེག་_100_],ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[སྦོམ་_100_],སྦོམ་_100_,སྦོམ་_100_,སྦོམ་_100_,སྦོམ་_100_,སྦོམ་_100_
[པོའི་_83_],པོའི་_83_,པོའི་_83_,པོའི་_83_,པོའི་_83_,པའི་_16_
[ལྟུང་_100_],ལྟུང་_100_,ལྟུང་_100_,ལྟུང་_100_,ལྟུང་_100_,ལྟུང་_100_
