༄༅། །​སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_13_,༄༅། །​སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_13_,༄༅། །​སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཤུ་ནྱཱ་ཏ་སྱ་སཔྟི་ཏ་པྲྀཏྟི། བོད་_6_,༄༅། །​སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཤུ་ནྱཱ་ཏ་སྱ་སཔྟི་ཏ་པྲིཏྟི། བོད་_6_,[༄༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_33_],༄༅། །​ སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།༄༅། །​རྒྱ་གར་སྐད་དུ། ཤུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_6_,སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པརྒྱ་གར་སྐད་དུ། ཤཱུཉ་ཏཱ་སྱ་ས་པྟ་ཏི་བྲྀ་ཏྟི། བོད་_6_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_33_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_33_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཤུནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_6_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_33_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_6_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུ་ནྱ་ཏཱ་སྱ་སཔྟ་ཏི་བྲྀཏྟི། བོད་_33_,། །​ ༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཤཱུནྱ་ཏཱ་སྱསཔྟཏིབྲྀཏྟི། བོད་_6_,༄༅། རྒྱ་གར་སྐད་དུ། ཤརྫབྲཀཤྲནཡབྲཀཤྲཏཱ་སཡབྲཀཤྲས་པཏབྲཀཤྲཏི་བྲྀ་ནསྤྲ།བྲཀཤྲབོད་_6_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _93_],། _93_,། _93_,། _93_,། _93_,།_6_,། _93_,། _93_,། _93_,། _93_,། _93_,། _93_,། _93_,། _93_,། _93_
[སྟོང་_100_],སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_,སྟོང་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[བདུན་_100_],བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_
[ཅུ་_100_],ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_,ཅུ་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[འགྲེལ་_100_],འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_,འགྲེལ་_100_
[པ། _93_],པ། _93_,པ། _93_,པ། _93_,པ། _93_,པ། _93_,པ །​ _6_,པ། _93_,པ། _93_,པ། _93_,པ། _93_,པ། _93_,པ། _93_,པ། _93_,པ། _93_
[འཕགས་_100_],འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[འཇམ་_100_],འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[ཡེ་_100_],ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[དཔའ་_100_],དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_93_],ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,པྱག་_6_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_,ཕྱག་_93_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
[པའམ་_100_],པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_,པའམ་_100_
[སྐྱེ་_100_],སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
