[༄༅། །​_83_],༄༅། །​_83_,༄༅། །​_83_,༄༅། །​_83_,༄༅། །​_83_,༄༅། །​ _16_
[སྤོས་_100_],སྤོས་_100_,སྤོས་_100_,སྤོས་_100_,སྤོས་_100_,སྤོས་_100_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[རིན་_100_],རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཆེའི་_100_],ཆེའི་_100_,ཆེའི་_100_,ཆེའི་_100_,ཆེའི་_100_,ཆེའི་_100_
[ཕྲེང་_100_],ཕྲེང་_100_,ཕྲེང་_100_,ཕྲེང་_100_,ཕྲེང་_100_,ཕྲེང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[བཞུགས།༄༅༅། །​_66_],བཞུགས།༄༅༅། །​_66_,བཞུགས།༄༅༅། །​_66_,བཞུགས།༄༅༅། །​_66_,བ་ཞུགས། །​༄༅༅། །​_16_,བཞུགས།པའི་གནས་༄༅། །​_16_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
