[ ༄༅༅། །​_66_], ༄༅༅། །​_66_, ༄༅༅། །​_66_, ༄༅༅། །​_66_,༄༅༅། །​_16_,༅༅། _16_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། ཥེ་_50_],། ཥེ་_50_,། ཤེ་_33_,། ཤེ་_33_,། ཥེ་_50_,། །​ཥེ་_16_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཙ་_100_],ཙ་_100_,ཙ་_100_,ཙ་_100_,ཙ་_100_,ཙ་_100_
[ཏུར་_50_],ཏུར་_50_,ཏུ་_33_,ཏུ་_33_,ཏུར་_50_,ཏུ་ར་_16_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཀཱ་_66_],ཀཱ་_66_,ཀ་_33_,ཀ་_33_,ཀཱ་_66_,ཀཱ་_66_
[ར་_100_],ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_
[ཎ། བོད་སྐད་དུ། _50_],ཎ། བོད་སྐད་དུ། _50_,ཎ།  _33_,ཎ།  _33_,ཎ། བོད་སྐད་དུ། _50_,ཎ། བོད་སྐད་དུ། །​ _16_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_
[བཞི་_100_],བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[བྱེད་_100_],བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_
[པ། _83_],པ། _83_,པ། _83_,པ། _83_,པ། _83_,པ །​ _16_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[རྡོ་_100_],རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[དཔའ་_66_],དཔའ་_66_,པ་_33_,པ་_33_,དཔའ་_66_,དཔའ་_66_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འཕགས་_100_],འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[སྤྱན་_83_],སྤྱན་_83_,སྤྱན་_83_,སྤྱན་_83_,སྤྱན་_83_,སྦྱིན་_16_
[རས་_100_],རས་_100_,རས་_100_,རས་_100_,རས་_100_,རས་_100_
[གཟིགས་_66_],གཟིགས་_66_,གཟིགས་ཀྱི་_33_,གཟིགས་ཀྱི་_33_,གཟིགས་_66_,གཟིགས་_66_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_
[ཕྱུག་_100_],ཕྱུག་_100_,ཕྱུག་_100_,ཕྱུག་_100_,ཕྱུག་_100_,ཕྱུག་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དངོས་_100_],དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_
[ཀུན་_100_],ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[དག་_100_],དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_,འོད་_100_,འོད་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_,གསལ་_100_,གསལ་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[བདེ་_100_],བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_
[སྐུ_100_],སྐུ_100_,སྐུ_100_,སྐུ_100_,སྐུ_100_,སྐུ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འགྲོ་_100_],འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_
[ཀུན་_100_],ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[རྗེས་_100_],རྗེས་_100_,རྗེས་_100_,རྗེས་_100_,རྗེས་_100_,རྗེས་_100_
[ཁྱབ་_100_],ཁྱབ་_100_,ཁྱབ་_100_,ཁྱབ་_100_,ཁྱབ་_100_,ཁྱབ་_100_
[མཛད་_100_],མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_
[ཅིར་_100_],ཅིར་_100_,ཅིར་_100_,ཅིར་_100_,ཅིར་_100_,ཅིར་_100_
[ཡང་_100_],ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_
[སྣང་_100_],སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[སྐུ_100_],སྐུ_100_,སྐུ_100_,སྐུ_100_,སྐུ_100_,སྐུ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[ལུས་_100_],ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_
[ཡུལ་_100_],ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_
[ཁམས་_100_],ཁམས་_100_,ཁམས་_100_,ཁམས་_100_,ཁམས་_100_,ཁམས་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[རོ་_100_],རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_,རོ་_100_
[མཉམ་_100_],མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_
[གཉིས་_100_],གཉིས་_100_,གཉིས་_100_,གཉིས་_100_,གཉིས་_100_,གཉིས་_100_
[སུ་_100_],སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_,སུ་_100_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_
