[༄། །​_62_],༄། །​_62_,༄། །​_62_,༄། །​_62_,༄༅། །​_25_,༄། །​_62_,༄༅། །​_25_,ལོག་སྒྲོན་མ་ཞེས་བྱ་བ།ཀླུ་སྒྲུབ།_12_
[ཞེན་_100_],ཞེན་_100_,ཞེན་_100_,ཞེན་_100_,ཞེན་_100_,ཞེན་_100_,ཞེན་_100_,ཞེན་_100_
[ལོག་_100_],ལོག་_100_,ལོག་_100_,ལོག་_100_,ལོག་_100_,ལོག་_100_,ལོག་_100_,ལོག་_100_
[སྒྲོན་_100_],སྒྲོན་_100_,སྒྲོན་_100_,སྒྲོན་_100_,སྒྲོན་_100_,སྒྲོན་_100_,སྒྲོན་_100_,སྒྲོན་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[བཞུགས། །​ ༄༅༅། །​_75_],བཞུགས། །​ ༄༅༅། །​_75_,བཞུགས། །​ ༄༅༅། །​_75_,བཞུགས། །​ ༄༅༅། །​_75_,བཞུགས། །​ ༄༅༅། །​_75_,བཞུགས། །​ ༄༅༅། །​_75_,བཞུགས་བ་མ་མང་དུ་བཞི་བ །​ དབང་པོ བྱུང་། དུ་བ་དུ་ཟླ་ནི། །​ཀ་ཀློང་དུ་བྱ་བ་ག ག་ཚོད་ག་འི་ཁྱོན་དུ་མ་གིnལ་བ་ན་ཕྱོགས༄༅། །​_12_,བཞུགས། །​_12_
[མཆོད་_100_],མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
[དཀོན་_100_],དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_
[མཆོག་_100_],མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཆོས་_100_],ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[འཇུག་_100_],འཇུག་_100_,འཇུག་_100_,འཇུག་_100_,འཇུག་_100_,འཇུག་_100_,འཇུག་_100_,འཇུག་_100_
[ཐབས་_100_],ཐབས་_100_,ཐབས་_100_,ཐབས་_100_,ཐབས་_100_,ཐབས་_100_,ཐབས་_100_,ཐབས་_100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_
[འདི་བརྟན་པར་_62_],འདི་བརྟན་པར་_62_,འདི་བསྟན་པར་_25_,འདི་བསྟན་པར་_25_,འདི་བརྟན་པར་_62_,འདི་བརྟན་པར་_62_,འདི་བརྟནཔར་_12_,འདི་བརྟན་པར་_62_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[ཞིག་_100_],ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_
[སྡུག་_100_],སྡུག་_100_,སྡུག་_100_,སྡུག་_100_,སྡུག་_100_,སྡུག་_100_,སྡུག་_100_,སྡུག་_100_
[བསྔལ་_100_],བསྔལ་_100_,བསྔལ་_100_,བསྔལ་_100_,བསྔལ་_100_,བསྔལ་_100_,བསྔལ་_100_,བསྔལ་_100_
