[༄༅། །​འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།༄༅༅། །​_44_],༄༅། །​འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།༄༅༅། །​_44_,༄༅། །​འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།༄༅༅། །​_44_,༄༅། །​འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།༄༅༅། །​_44_,༄༅༅།_11_,༄༅༅། །​_11_,༅༅། །​_11_,_11_,༄༅། །​_11_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཨཱརྱ་_88_],ཨཱརྱ་_88_,ཨཱརྱ་_88_,ཨཱརྱ་_88_,ཨཱརྱ་_88_,ཨཱརྱ་_88_,ཨཱརྱ་_88_,ཨཱཪྻ་_11_,ཨཱརྱ་_88_
[བྷ་_100_],བྷ་_100_,བྷ་_100_,བྷ་_100_,བྷ་_100_,བྷ་_100_,བྷ་_100_,བྷ་_100_,བྷ་_100_
[དྲ་_100_],དྲ་_100_,དྲ་_100_,དྲ་_100_,དྲ་_100_,དྲ་_100_,དྲ་_100_,དྲ་_100_,དྲ་_100_
[ཙརྱ་_88_],ཙརྱ་_88_,ཙརྱ་_88_,ཙརྱ་_88_,ཙརྱ་_88_,ཙརྱ་_88_,ཙརྱ་_88_,ཙཪྻ་_11_,ཙརྱ་_88_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཎི་_100_],ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_
[དྷ་_100_],དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_
[ན་མ་_66_],ན་མ་_66_,ནཱ་མ་_22_,ནཱ་མ་_22_,ན་མ་_66_,ན་མ་_66_,ན་མ་_66_,ན་མ་_66_,ན་ཚིམ་_11_
[ཧཱ་_100_],ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_,ཧཱ་_100_
[རཱ་_100_],རཱ་_100_,རཱ་_100_,རཱ་_100_,རཱ་_100_,རཱ་_100_,རཱ་_100_,རཱ་_100_,རཱ་_100_
[ཛ་_100_],ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_,ཛ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[བནྡྷ་_100_],བནྡྷ་_100_,བནྡྷ་_100_,བནྡྷ་_100_,བནྡྷ་_100_,བནྡྷ་_100_,བནྡྷ་_100_,བནྡྷ་_100_,བནྡྷ་_100_
[ན_100_],ན_100_,ན_100_,ན_100_,ན_100_,ན_100_,ན_100_,ན_100_,ན_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _88_],། _88_,། _88_,། _88_,། _88_,། _88_,། _88_,།  _11_,། _88_
[འཕགས་_100_],འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བཟང་_100_],བཟང་_100_,བཟང་_100_,བཟང་_100_,བཟང་_100_,བཟང་_100_,བཟང་_100_,བཟང་_100_,བཟང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[སྤྱོད་_100_],སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[སྨོན་_100_],སྨོན་_100_,སྨོན་_100_,སྨོན་_100_,སྨོན་_100_,སྨོན་_100_,སྨོན་_100_,སྨོན་_100_,སྨོན་_100_
[ལམ་_100_],ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[རྒྱལ་_100_],རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_
[བཤད་_100_],བཤད་_100_,བཤད་_100_,བཤད་_100_,བཤད་_100_,བཤད་_100_,བཤད་_100_,བཤད་_100_,བཤད་_100_
[སྦྱར། _88_],སྦྱར། _88_,སྦྱར། _88_,སྦྱར། _88_,སྦྱར། _88_,སྦྱར། _88_,སྦྱར། _88_,སྦྱར །​ _11_,སྦྱར། _88_
