༄༅། །​མདོ་ཀུན་ལས་བཏུས་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། སཱུ་ཏྲ་ས་མུཙྪཱ་ཡ། བོད་སྐད་དུ། _14_,[༄༅། །​མདོ་ཀུན་ལས་བཏུས་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། སཱུ་ཏྲ་ས་མུཙྪ་ཡ། བོད་སྐད་དུ། _28_],༄༅། །​མདོ་ཀུན་ལས་བཏུས་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། སཱུ་ཏྲ་ས་མུཙྪ་ཡ། བོད་སྐད་དུ། _28_,༄༅། །​མདོ་ཀུན་ལས་བཏུས་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། སཱུ་ཏྲ་ས་མུཙྪ་ཡང་། བོད་སྐད་དུ། _14_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། སཱུ་ཏྲ་ས་མུཙྪཱ་ཡ། བོད་སྐད་དུ། _28_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། སཱུ་ཏྲ་ས་མུཙྪཱ་ཡ། བོད་སྐད་དུ། _28_,༄༅། །​བསྒོམ་པའི་རིམ་པ་_14_
[མདོ་_100_],མདོ་_100_,མདོ་_100_,མདོ་_100_,མདོ་_100_,མདོ་_100_,མདོ་_100_
[ཀུན་_100_],ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[བཏུས་_100_],བཏུས་_100_,བཏུས་_100_,བཏུས་_100_,བཏུས་_100_,བཏུས་_100_,བཏུས་_100_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
[། བམ་པོ་དང་པོ། _85_],། བམ་པོ་དང་པོ། _85_,། བམ་པོ་དང་པོ། _85_,། བམ་པོ་དང་པོ། _85_,། བམ་པོ་དང་པོ། _85_,། བམ་པོ་དང་པོ། _85_,། _14_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[བྱང་_100_],བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_
[ཆུབ་_100_],ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[དཔའ་_100_],དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_,དཔའ་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
