[༄༅། །​བླ་མ་གསང་སྒྲུབ་པ་ཞེས་བྱ་བ། ༄། _83_],༄༅། །​བླ་མ་གསང་སྒྲུབ་པ་ཞེས་བྱ་བ། ༄། _83_,༄༅། །​བླ་མ་གསང་སྒྲུབ་པ་ཞེས་བྱ་བ། ༄། _83_,༄༅། །​བླ་མ་གསང་སྒྲུབ་པ་ཞེས་བྱ་བ། ༄། _83_,༄༅། །​བླ་མ་གསང་སྒྲུབ་པ་ཞེས་བྱ་བ། ༄། _83_,༄༅། _16_
[བླ་_100_],བླ་_100_,བླ་_100_,བླ་_100_,བླ་_100_,བླ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[གསང་_100_],གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_
[སྒྲུབ་_100_],སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_
[ཀླུ་_100_],ཀླུ་_100_,ཀླུ་_100_,ཀླུ་_100_,ཀླུ་_100_,ཀླུ་_100_
[སྒྲུབ་_100_],སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_
[ཀྱིས་_100_],ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_
[མཛད་_100_],མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བཞུགས་_100_],བཞུགས་_100_,བཞུགས་_100_,བཞུགས་_100_,བཞུགས་_100_,བཞུགས་_100_
[སྷོ། །​ ༄༅༅། །​_83_],སྷོ། །​ ༄༅༅། །​_83_,སྷོ། །​ ༄༅༅། །​_83_,སྷོ། །​ ༄༅༅། །​_83_,སྷོ། །​ ༄༅༅། །​_83_,སྙོ། །​ ༄༅། །​_16_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _83_],། _83_,། _83_,། _83_,། _83_,༑ _16_
[གུ་_100_],གུ་_100_,གུ་_100_,གུ་_100_,གུ་_100_,གུ་_100_
[ཧྱ་_100_],ཧྱ་_100_,ཧྱ་_100_,ཧྱ་_100_,ཧྱ་_100_,ཧྱ་_100_
[སིདྷི་_100_],སིདྷི་_100_,སིདྷི་_100_,སིདྷི་_100_,སིདྷི་_100_,སིདྷི་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[མ_100_],མ_100_,མ_100_,མ_100_,མ_100_,མ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[བླ་_100_],བླ་_100_,བླ་_100_,བླ་_100_,བླ་_100_,བླ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[གསང་_100_],གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[སྒྲུབ་_100_],སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བ_100_],བ_100_,བ_100_,བ_100_,བ_100_,བ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[ཇི་_100_],ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_
[ལྟར་_100_],ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_
[ཆུ་_100_],ཆུ་_100_,ཆུ་_100_,ཆུ་_100_,ཆུ་_100_,ཆུ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཆུ་_100_],ཆུ་_100_,ཆུ་_100_,ཆུ་_100_,ཆུ་_100_,ཆུ་_100_
[བཞག་_100_],བཞག་_100_,བཞག་_100_,བཞག་_100_,བཞག་_100_,བཞག་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[མར་_100_],མར་_100_,མར་_100_,མར་_100_,མར་_100_,མར་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[མར་_100_],མར་_100_,མར་_100_,མར་_100_,མར་_100_,མར་_100_
[བཞག་_100_],བཞག་_100_,བཞག་_100_,བཞག་_100_,བཞག་_100_,བཞག་_100_
[བཞིན_100_],བཞིན_100_,བཞིན_100_,བཞིན_100_,བཞིན_100_,བཞིན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བླ་_100_],བླ་_100_,བླ་_100_,བླ་_100_,བླ་_100_,བླ་_100_
[མས་_100_],མས་_100_,མས་_100_,མས་_100_,མས་_100_,མས་_100_
[མཚོན་_100_],མཚོན་_100_,མཚོན་_100_,མཚོན་_100_,མཚོན་_100_,མཚོན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[སྐུ་_100_],སྐུ་_100_,སྐུ་_100_,སྐུ་_100_,སྐུ་_100_,སྐུ་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ལེགས་_100_],ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_
[མཐོང་_100_],མཐོང་_100_,མཐོང་_100_,མཐོང་_100_,མཐོང་_100_,མཐོང་_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[ཡིན་_100_],ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_
[འདིར་_100_],འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[ཡིན_100_],ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཨེ་_100_],ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_
[གསང་_100_],གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_
[ཆོས་_100_],ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[འབྱུང་_100_],འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
[སུ_100_],སུ_100_,སུ_100_,སུ_100_,སུ_100_,སུ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཝཾ་_100_],ཝཾ་_100_,ཝཾ་_100_,ཝཾ་_100_,ཝཾ་_100_,ཝཾ་_100_
[སྐྱེད་_100_],སྐྱེད་_100_,སྐྱེད་_100_,སྐྱེད་_100_,སྐྱེད་_100_,སྐྱེད་_100_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[བས་_100_],བས་_100_,བས་_100_,བས་_100_,བས་_100_,བས་_100_
[འབྱུང་_100_],འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_,འབྱུང་_100_
[བཞི་_100_],བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_
[གྲུབ_100_],གྲུབ_100_,གྲུབ_100_,གྲུབ_100_,གྲུབ_100_,གྲུབ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རྐང་_100_],རྐང་_100_,རྐང་_100_,རྐང་_100_,རྐང་_100_,རྐང་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སུམ་_100_],སུམ་_100_,སུམ་_100_,སུམ་_100_,སུམ་_100_,སུམ་_100_
[མདོར་_100_],མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_
[མེ_100_],མེ_100_,མེ_100_,མེ_100_,མེ_100_,མེ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ལྟེ་_100_],ལྟེ་_100_,ལྟེ་_100_,ལྟེ་_100_,ལྟེ་_100_,ལྟེ་_100_
[ཆུ་_100_],ཆུ་_100_,ཆུ་_100_,ཆུ་_100_,ཆུ་_100_,ཆུ་_100_
[བྲང་_100_],བྲང་_100_,བྲང་_100_,བྲང་_100_,བྲང་_100_,བྲང་_100_
[ས་_100_],ས་_100_,ས་_100_,ས་_100_,ས་_100_,ས་_100_
[རྒལ་_100_],རྒལ་_100_,རྒལ་_100_,རྒལ་_100_,རྒལ་_100_,རྒལ་_100_
[ཚིགས་_100_],ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_,ཚིགས་_100_
[རི_100_],རི_100_,རི_100_,རི_100_,རི_100_,རི_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[སའི་_100_],སའི་_100_,སའི་_100_,སའི་_100_,སའི་_100_,སའི་_100_
[དཀྱིལ་_100_],དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_,དཀྱིལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[ལས_100_],ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གསང་_100_],གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[མཆོག་_100_],མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[དགྱེས་_100_],དགྱེས་_100_,དགྱེས་_100_,དགྱེས་_100_,དགྱེས་_100_,དགྱེས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[གྲུབ_100_],གྲུབ_100_,གྲུབ_100_,གྲུབ_100_,གྲུབ_100_,གྲུབ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_
[ལྔ་_100_],ལྔ་_100_,ལྔ་_100_,ལྔ་_100_,ལྔ་_100_,ལྔ་_100_
[རིན་_100_],རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[ལྔའི་_100_],ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_
[རྩིག _100_],རྩིག _100_,རྩིག _100_,རྩིག _100_,རྩིག _100_,རྩིག _100_
[།​_100_],།​_100_,།​_100_,།​_100_,།​_100_,།​_100_
[འདོད་_100_],འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_
[ཡོན་_100_],ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ལྔའི་_100_],ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_,ལྔའི་_100_
[མཛེས_100_],མཛེས_100_,མཛེས_100_,མཛེས_100_,མཛེས_100_,མཛེས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ལྕེ་_100_],ལྕེ་_100_,ལྕེ་_100_,ལྕེ་_100_,ལྕེ་_100_,ལྕེ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[རིན་_100_],རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
