[༄༅། །​རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_],༄༅། །​རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_,༄༅། །​རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_,༄༅། །​རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_,༄༅༅། །​_37_,༄༅༅། །​_37_,༄༅༅། །​_37_,_12_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བཛྲ་_100_],བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_
[ཏཱ་_100_],ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_,ཏཱ་_100_
[རཱ་_75_],རཱ་_75_,ར་_25_,ར་_25_,རཱ་_75_,རཱ་_75_,རཱ་_75_,རཱ་_75_
[སཱ་_100_],སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_
[དྷ་_100_],དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_
[ནཾ_100_],ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _87_],། _87_,། _87_,། _87_,། _87_,། _87_,། _87_,།  _12_
[རྡོ་_100_],རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
