[༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_],༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅༅། །​_14_,༄༅༅། །​_14_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​_7_,དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ།_7_,༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​_7_,༄༅། །​དབུ་མ་རྩ་བ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​ _7_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​_7_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​  _7_,༅༅། །​_7_,དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།_7_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། པྲཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ །​བོད་_21_],། པྲཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ །​བོད་_21_,། པྲཛྙཱ་ནཱ་མ་མཱུ་ལ་མཱ་དྷྱ་མ་ཀ་ཀཱ་རི་ཀཱ། །​བོད་_14_,། པྲཛྙཱ་ནཱ་མ་མཱུ་ལ་མཱ་དྷྱ་མ་ཀ་ཀཱ་རི་ཀཱ། །​བོད་_14_,། །​པྲ་ཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ །​བོད་_14_,། པྲཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ །​བོད་_21_,། པྲ་ཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀབོད་_7_,། །​པྲ་ཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ །​བོད་_14_,། པྲཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱ་མ་ཀ་ཀཱ་རི་ཀ །​བོད་_7_,། པྲ་ཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ བོད་_14_,། པྲཛྙཱནཱམུམཱལམདྷུམཀཀརིཀ། བོད་_7_,། པྲ་ཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ བོད་_14_,། །​པྲ་ཛྙཱ་ནཱ་མ་མཱུ་ལ་མ་དྷྱཱ་མ་ཀ་ཀཱ་རི་ཀ།བོད་_7_,། །​པྲ་ཏྣུ་ནཱ་མ་མརྨ་ལ་མ་བླེ་མ་ཀ་ཀཱ་རི་ཀ་།བོད་_7_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _71_],། _71_,། _71_,། _71_,། །​_28_,། _71_,། _71_,། །​_28_,། _71_,། _71_,། _71_,། _71_,། །​_28_,། །​_28_
[དབུ་_100_],དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_,དབུ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
