[༄༅། །​འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_],༄༅། །​འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས། _12_,༄༅། །​འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​_12_,འཕགས་མ་དུག་སེལ་བའི་སྒྲུབ་ཐབས།_12_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཨཱརྱ་ཛཱངྒུ་_37_],ཨཱརྱ་ཛཱངྒུ་_37_,ཨཱརྱ་ཛང་གུ་_25_,ཨཱརྱ་ཛང་གུ་_25_,ཨཱཪྻ་ཛཱངྒུ་_25_,ཨཱརྱ་ཛཱངྒུ་_37_,ཨཱརྱ་ཛཱདྨ་_12_,ཨཱཪྻ་ཛཱངྒུ་_25_
[ལཱི་_100_],ལཱི་_100_,ལཱི་_100_,ལཱི་_100_,ལཱི་_100_,ལཱི་_100_,ལཱི་_100_,ལཱི་_100_
[སཱ་_100_],སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_
[དྷ་_100_],དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_
[ནཾ_100_],ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
