[༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_],༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_,༄༅༅། །​_18_,༄༅༅། །​_18_,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_9_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ་བཞུགས་སོ། །​_9_,༄༅། །​ བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅། །​_9_,བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།_9_,༄༅། །​བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།༄༅༅། །​_45_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
དུ། །​མང་་_27_,དུ། །​མང་་_27_,དུ། །​མང་མཾ་གཱ་_18_,དུ། །​མང་མཾ་གཱ་_18_,[དུ། མངྒ་_45_],དུ། །​མང་་_27_,དུ། མངྒ་_45_,དུ། མཾ་ག་_9_,དུ། མངྒ་_45_,དུ། མངྒ་_45_,དུ། མངྒ་_45_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[གཱ་_100_],གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_,གཱ་_100_
[ཐཱ_100_],ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_
[། _90_],། _90_,། _90_,། _90_,། _90_,། _90_,། _90_,། །​_9_,། _90_,། _90_,། _90_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
