[༄༅། །​སྦྱིན་པའི་གཏམ།༄༅༅། །​_50_],༄༅། །​སྦྱིན་པའི་གཏམ།༄༅༅། །​_50_,༄༅། །​སྦྱིན་པའི་གཏམ།༄༅༅། །​_50_,༄༅། །​སྦྱིན་པའི་གཏམ།༄༅༅། །​_50_,༄༅༅། །​_37_,༄༅༅། །​_37_,༄༅༅། །​_37_,_12_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[དཱ་_100_],དཱ་_100_,དཱ་_100_,དཱ་_100_,དཱ་_100_,དཱ་_100_,དཱ་_100_,དཱ་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[རི་_100_],རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཐཱ_100_],ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_,ཐཱ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _87_],། _87_,། _87_,། _87_,། _87_,། _87_,། _87_,།  _12_
[སྦྱིན་_100_],སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[གཏམ། _87_],གཏམ། _87_,གཏམ། _87_,གཏམ། _87_,གཏམ། _87_,གཏམ། _87_,གཏམ། _87_,གཏམ །​ _12_
[དཀོན་_100_],དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_,དཀོན་_100_
[མཆོག་_100_],མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_87_],། །​_87_,། །​_87_,། །​_87_,།།_12_,། །​_87_,། །​_87_,། །​_87_
[སྦྱིན་_100_],སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[གཏེར་_100_],གཏེར་_100_,གཏེར་_100_,གཏེར་_100_,གཏེར་_100_,གཏེར་_100_,གཏེར་_100_,གཏེར་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[ཕྱི་_100_],ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_,ཕྱི་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[འབྲངས་པ་_75_],འབྲངས་པ་_75_,འབྲང་བ་_25_,འབྲང་བ་_25_,འབྲངས་པ་_75_,འབྲངས་པ་_75_,འབྲངས་པ་_75_,འབྲངས་པ་_75_
[ཡིན་_100_],ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[ཆོམ་_100_],ཆོམ་_100_,ཆོམ་_100_,ཆོམ་_100_,ཆོམ་_100_,ཆོམ་_100_,ཆོམ་_100_,ཆོམ་_100_
[རྐུན་_100_],རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[དབྲོག་_100_],དབྲོག་_100_,དབྲོག་_100_,དབྲོག་_100_,དབྲོག་_100_,དབྲོག་_100_,དབྲོག་_100_,དབྲོག་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[ནུས_100_],ནུས_100_,ནུས_100_,ནུས_100_,ནུས_100_,ནུས_100_,ནུས_100_,ནུས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སྦྱིན་_100_],སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[སེར་_100_],སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_
[སྣ་_100_],སྣ་_100_,སྣ་_100_,སྣ་_100_,སྣ་_100_,སྣ་_100_,སྣ་_100_,སྣ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[ཆགས་_100_],ཆགས་_100_,ཆགས་_100_,ཆགས་_100_,ཆགས་_100_,ཆགས་_100_,ཆགས་_100_,ཆགས་_100_
[པའི་_87_],པའི་_87_,པ་_12_,པའི་_87_,པའི་_87_,པའི་_87_,པའི་_87_,པའི་_87_
[སྐྱོན་_100_],སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_,སྐྱོན་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[རྡུལ་_100_],རྡུལ་_100_,རྡུལ་_100_,རྡུལ་_100_,རྡུལ་_100_,རྡུལ་_100_,རྡུལ་_100_,རྡུལ་_100_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[འཁྲུ་_100_],འཁྲུ་_100_,འཁྲུ་_100_,འཁྲུ་_100_,འཁྲུ་_100_,འཁྲུ་_100_,འཁྲུ་_100_,འཁྲུ་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[བྱེད_100_],བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སྦྱིན་_100_],སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[ལམ་_100_],ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ངལ་_100_],ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_
[བསེལ་_100_],བསེལ་_100_,བསེལ་_100_,བསེལ་_100_,བསེལ་_100_,བསེལ་_100_,བསེལ་_100_,བསེལ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ཡིན་_100_],ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_
[ཏེ་_100_],ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_,ཏེ་_100_
[བཞོན་_100_],བཞོན་_100_,བཞོན་_100_,བཞོན་_100_,བཞོན་_100_,བཞོན་_100_,བཞོན་_100_,བཞོན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བདེ་_100_],བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_
[བླག་_100_],བླག་_100_,བླག་_100_,བླག་_100_,བླག་_100_,བླག་_100_,བླག་_100_,བླག་_100_
[ཅན_100_],ཅན_100_,ཅན_100_,ཅན_100_,ཅན_100_,ཅན_100_,ཅན_100_,ཅན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སྦྱིན་_100_],སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_,སྦྱིན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བདེ་_100_],བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_
[དགུར་_100_],དགུར་_100_,དགུར་_100_,དགུར་_100_,དགུར་_100_,དགུར་_100_,དགུར་_100_,དགུར་_100_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
