[༄༅། །​ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_],༄༅། །​ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_,༄༅། །​ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_,༄༅། །​ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག།༄༅༅། །​_50_,༄༅༅། །​_25_,༄༅། །​ ཕྱག་ན་རྡོ་རྗེའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་༄༅། །​ _12_,ཕྱག་ན་རྡོ་རྗེ་དཀྱིལ་འཁོར་གྱི་ཆོ་ག། _12_,༄༅༅། །​_25_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བཛྲ་_100_],བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_
[པཱ་_100_],པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_
[ཎི་_100_],ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_
[མཎྜལ་_100_],མཎྜལ་_100_,མཎྜལ་_100_,མཎྜལ་_100_,མཎྜལ་_100_,མཎྜལ་_100_,མཎྜལ་_100_,མཎྜལ་_100_
[བི་དྷིཿ། _62_],བི་དྷིཿ། _62_,བི་_25_,བི་_25_,བི་དྷིཿ། _62_,བི་དྷི །​ _12_,བི་དྷིཿ། _62_,བི་དྷིཿ། _62_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _75_],། _75_,། _75_,། _75_,། _75_,།_12_,།  _12_,། _75_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
