[༄༅། །​བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བཾ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_22_],༄༅། །​བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བཾ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_22_,༄༅། །​བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_22_,༄༅། །​བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_22_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བཾ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_22_,༄། །​_11_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བཾ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_22_,རྒྱ་གར་སྐད་དུ། ཨ་ཙིནྟ་སྟ་བཾ། བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_11_,༄༅། །​ རྒྱ་གར་སྐད་དུ། ཨ་ཙནྟིསྟ་བཿ བོད་སྐད་དུ། བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་ལ་ཕྱག་འཚལ་ལོ། །​གང་ཞིག་དངོས་པོ་རྟེན་འབྱུང་རྣམས། །​ངོ་བོ་མེད་པ་_11_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[གསུངས_100_],གསུངས_100_,གསུངས_100_,གསུངས_100_,གསུངས_100_,གསུངས_100_,གསུངས_100_,གསུངས_100_,གསུངས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཡེ་_100_],ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_,ཡེ་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[མཉམ་_100_],མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_,མཉམ་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[བསམ་_100_],བསམ་_100_,བསམ་_100_,བསམ་_100_,བསམ་_100_,བསམ་_100_,བསམ་_100_,བསམ་_100_,བསམ་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[ཁྱབ_100_],ཁྱབ_100_,ཁྱབ_100_,ཁྱབ_100_,ཁྱབ_100_,ཁྱབ_100_,ཁྱབ_100_,ཁྱབ_100_,ཁྱབ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དཔེ་_100_],དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_,དཔེ་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཇི་_100_],ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_,ཇི་_100_
[ལྟར་_100_],ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_,ལྟར་_100_
[ཁྱོད་_100_],ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_
[ཀྱིས་_100_],ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_
[ཐེག་_100_],ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_,ཐེག་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[ལ_100_],ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཉིད་_100_],ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_,ཉིད་_100_
[ཀྱིས་_100_],ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_,ཀྱིས་_100_
