[༄༅། །​རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_],༄༅། །​རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_,༄༅། །​རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_,༄༅། །​རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_50_,༄༅། །​རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།  ༄༅༅། །​_12_,རལ་བ་གཅིག་མའི་སྒྲུབ་ཐབས།༄༅༅། །​_12_,༄༅། །​_12_,རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།༄༅༅། _12_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཨེ་_100_],ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཛཱ་_100_],ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_
[ཊཱི་_75_],ཊཱི་_75_,ཊི་_25_,ཊི་_25_,ཊཱི་_75_,ཊཱི་_75_,ཊཱི་_75_,ཊཱི་_75_
[སཱ་_100_],སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_,སཱ་_100_
[དྷ་_100_],དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_,དྷ་_100_
[ནཾ_100_],ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_,ནཾ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[རལ་_100_],རལ་_100_,རལ་_100_,རལ་_100_,རལ་_100_,རལ་_100_,རལ་_100_,རལ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[གཅིག་_100_],གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_,གཅིག་_100_
[མའི་_100_],མའི་_100_,མའི་_100_,མའི་_100_,མའི་_100_,མའི་_100_,མའི་_100_,མའི་_100_
[སྒྲུབ་_100_],སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_
[ཐབས_100_],ཐབས_100_,ཐབས_100_,ཐབས_100_,ཐབས_100_,ཐབས_100_,ཐབས_100_,ཐབས_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[འཕགས་_100_],འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[ཨེ་_100_],ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_,ཨེ་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཛཱ་_100_],ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_,ཛཱ་_100_
[ཊཱི་_62_],ཊཱི་_62_,ཊི་_25_,ཊི་_25_,ཊཱི་_62_,ཊཱི་_62_,ཊཱི་”_12_,ཊཱི་_62_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_87_],། །​_87_,། །​_87_,། །​_87_,། །​_87_,། །​_87_,། །​ _12_,། །​_87_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཨཱཿཧཱུཾ་_87_],ཨཱཿཧཱུཾ་_87_,ཨཱཿཧཱུཾ་_87_,ཨཱཿཧཱུཾ་_87_,ཨཱཿཧཱུཾ་_87_,ཨཱཿཧཱུཾ་_87_,ཨཱཿཧཱུྃ་_12_,ཨཱཿཧཱུཾ་_87_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[བཛྲ་_100_],བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_
[ཡོ་_100_],ཡོ་_100_,ཡོ་_100_,ཡོ་_100_,ཡོ་_100_,ཡོ་_100_,ཡོ་_100_,ཡོ་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[ནཱི་_62_],ནཱི་_62_,ནི་_25_,ནི་_25_,ནཱི་_62_,ནཱི་_62_,ནི་“_12_,ནཱི་_62_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_
[ཏཱིཙྪ་_100_],ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_,ཏཱིཙྪ་_100_
[མཾ་_100_],མཾ་_100_,མཾ་_100_,མཾ་_100_,མཾ་_100_,མཾ་_100_,མཾ་_100_,མཾ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ལིཾ་_100_],ལིཾ་_100_,ལིཾ་_100_,ལིཾ་_100_,ལིཾ་_100_,ལིཾ་_100_,ལིཾ་_100_,ལིཾ་_100_
