[༄༅། །​རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།༄༅༅། །​_44_],༄༅། །​རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།༄༅༅། །​_44_,༄༅། །​རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།༄༅༅། །​_44_,༄༅། །​རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།༄༅༅། །​_44_,༄༅༅། །​_22_,༄༅༅། །​_22_,_11_,༅༅། །​_11_,༄༅། །​_11_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཨཱརྱ་མཉྫུ་_66_],ཨཱརྱ་མཉྫུ་_66_,ཨཱརྱ་མཉྫུ་_66_,ཨཱརྱ་མཉྫུ་_66_,ཨཱརྱ་མཉྫུ་_66_,ཨཱརྱ་མཉྫུ་_66_,ཨཪྻ་མཉྫུ་_11_,ཨརྱ་མཉྫུ་_11_,ཨཱརྱ་མཉྫ་_11_
[ཤྲཱི་_100_],ཤྲཱི་_100_,ཤྲཱི་_100_,ཤྲཱི་_100_,ཤྲཱི་_100_,ཤྲཱི་_100_,ཤྲཱི་_100_,ཤྲཱི་_100_,ཤྲཱི་_100_
[བྷནྚཱ་_66_],བྷནྚཱ་_66_,བྷནྚཱ་_66_,བྷནྚཱ་_66_,བྷནྚཱ་_66_,བྷནྚཱ་_66_,བྷ་ཎཱ་_11_,བྷཊྚཱ་_11_,བྷཏྟཱ་_11_
[ར་_100_],ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_,ར་_100_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཀཱ་_100_],ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_
[རུ་_100_],རུ་_100_,རུ་_100_,རུ་_100_,རུ་_100_,རུ་_100_,རུ་_100_,རུ་_100_,རུ་_100_
[ཎ་_100_],ཎ་_100_,ཎ་_100_,ཎ་_100_,ཎ་_100_,ཎ་_100_,ཎ་_100_,ཎ་_100_,ཎ་_100_
[སྟོ་_100_],སྟོ་_100_,སྟོ་_100_,སྟོ་_100_,སྟོ་_100_,སྟོ་_100_,སྟོ་_100_,སྟོ་_100_,སྟོ་_100_
[ཏྲ_100_],ཏྲ_100_,ཏྲ_100_,ཏྲ_100_,ཏྲ_100_,ཏྲ_100_,ཏྲ_100_,ཏྲ_100_,ཏྲ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _88_],། _88_,། _88_,། _88_,། _88_,། _88_,།  _11_,། _88_,། _88_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
[བཙུན་_100_],བཙུན་_100_,བཙུན་_100_,བཙུན་_100_,བཙུན་_100_,བཙུན་_100_,བཙུན་_100_,བཙུན་_100_,བཙུན་_100_
[འཕགས་_100_],འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[འཇམ་_100_],འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[སྙིང་_100_],སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_,སྙིང་_100_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[བསྟོད་_100_],བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_
[པ། _77_],པ། _77_,པ། _77_,པ། _77_,པ། _77_,པ། _77_,པ །​ །​_11_,པ། _77_,པ། །​ །​_11_
[འཇམ་_100_],འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[གཞོན་_100_],གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_
[ནུར་_100_],ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
