[༄༅། །​མཆན་ཁུང་གི་སྦྱོར་བ།༄༅༅། །​_50_],༄༅། །​མཆན་ཁུང་གི་སྦྱོར་བ།༄༅༅། །​_50_,༄༅། །​མཆན་ཁུང་གི་སྦྱོར་བ།༄༅༅། །​_50_,༄༅། །​མཆན་ཁུང་གི་སྦྱོར་བ།༄༅༅། །​_50_,༄༅༅། །​_12_,༅༅། །​_12_,༄། །​_12_,༄༅། །​_12_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _87_],། _87_,། _87_,། _87_,། _87_,། _87_,། _87_,། :|:_12_
[ཀ་_100_],ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_,ཀ་_100_
[ཀྵ་_87_],ཀྵ་_87_,ཀྵ་_87_,ཀྵ་_87_,ཀྵ་_87_,ཀྵ་_87_,ཀྵ་_87_,ཀཱ་_12_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཏ_100_],ཏ_100_,ཏ_100_,ཏ_100_,ཏ_100_,ཏ_100_,ཏ_100_,ཏ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _87_],། _87_,། _87_,། _87_,། _87_,། _87_,། _87_,། །​ _12_
[མཆན་_100_],མཆན་_100_,མཆན་_100_,མཆན་_100_,མཆན་_100_,མཆན་_100_,མཆན་_100_,མཆན་_100_
[ཁུང་_100_],ཁུང་_100_,ཁུང་_100_,ཁུང་_100_,ཁུང་_100_,ཁུང་_100_,ཁུང་_100_,ཁུང་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[བ_100_],བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
