[༄༅། །​དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།༄༅༅། །​_50_],༄༅། །​དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།༄༅༅། །​_50_,༄༅། །​དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།༄༅༅། །​_50_,༄༅། །​དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།༄༅༅། །​_50_,༄༅། །​དེ་ཁོ་ན་ཉིད་སྒྲོན་མ་ཞེས་བྱ་བ།  ༄༅༅། །​_12_,༄༅། །​ _12_,༄༅༅། །​_25_,༄༅༅། །​_25_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། ཏཏྟྭ་_75_],། ཏཏྟྭ་_75_,། ཏཏྟྭ་_75_,། ཏཏྟྭ་_75_,། ཏཏྟྭ་_75_,། ཏྟཱ ཏཏྟཱ་_12_,། ཏཏྟ་_12_,། ཏཏྟྭ་_75_
[པྲ་_100_],པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_,པྲ་_100_
[དཱི་_100_],དཱི་_100_,དཱི་_100_,དཱི་_100_,དཱི་_100_,དཱི་_100_,དཱི་_100_,དཱི་_100_
[པཾ་_100_],པཾ་_100_,པཾ་_100_,པཾ་_100_,པཾ་_100_,པཾ་_100_,པཾ་_100_,པཾ་_100_
[ནཱ་_100_],ནཱ་_100_,ནཱ་_100_,ནཱ་_100_,ནཱ་_100_,ནཱ་_100_,ནཱ་_100_,ནཱ་_100_
[མ་_75_],མ་_75_,མ་ས་ན་ཏ་_25_,མ་ས་ན་ཏ་_25_,མ་_75_,མ་_75_,མ་_75_,མ་_75_
[བཛྲ་_100_],བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_,བཛྲ་_100_
[པཱ་_100_],པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_,པཱ་_100_
[ཎི་_100_],ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_
[སརྦ་_100_],སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_
[པཱུརྞཱ་_62_],པཱུརྞཱ་_62_,ཨ་_25_,ཨ་_25_,པཱུརྞཱ་_62_,པཱུརྞ་_12_,པཱུརྞཱ་_62_,པཱུརྞཱ་_62_
