[༄༅། །​_100_],༄༅། །​_100_,༄༅། །​_100_,༄༅། །​_100_,༄༅། །​_100_,༄༅། །​_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[ན་_100_],ན་_100_,ན་_100_,ན་_100_,ན་_100_,ན་_100_
[རྡོ་_100_],རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_
[རྗེ་_100_],རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_,རྗེ་_100_
[གཏུམ་_100_],གཏུམ་_100_,གཏུམ་_100_,གཏུམ་_100_,གཏུམ་_100_,གཏུམ་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཁྲོས་_100_],ཁྲོས་_100_,ཁྲོས་_100_,ཁྲོས་_100_,ཁྲོས་_100_,ཁྲོས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཞེས་_100_],ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_,ཞེས་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[སྒྲུབ་_100_],སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_,སྒྲུབ་_100_
[ཐབས_100_],ཐབས_100_,ཐབས_100_,ཐབས_100_,ཐབས_100_,ཐབས_100_
[།༄༅༅། །​_83_],།༄༅༅། །​_83_,།༄༅༅། །​_83_,།༄༅༅། །​_83_,།༄༅༅། །​_83_,།༄༅། །​_16_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_
[བཛྲ་_83_],བཛྲ་_83_,བཛྲ་_83_,བཛྲ་_83_,བཛྲ་_83_,བཛྲ་པཱ་_16_
[ཎི་_100_],ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_,ཎི་_100_
[ཙནྜ་_100_],ཙནྜ་_100_,ཙནྜ་_100_,ཙནྜ་_100_,ཙནྜ་_100_,ཙནྜ་_100_
