[༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_],༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅༅། །​_27_,༄༅༅། །​_27_,༄༅།  །​_9_,༄༅༅། །​_27_,༄༅། །​ ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅། །​_9_,_9_,༄༅། །​_9_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། པྲཛྙཱ་_45_],། པྲཛྙཱ་_45_,། པྲཛྙཱ་_45_,། པྲཛྙཱ་_45_,། བྲ་ཛྙཱ་_36_,། བྲ་ཛྙཱ་_36_,།   པྲ་ཛྙཱ་_9_,། བྲ་ཛྙཱ་_36_,། པྲ་ཛྙཱ་_9_,། བྲ་ཛྙཱ་_36_,། པྲཛྙཱ་_45_
[ཤ་_100_],ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_,ཤ་_100_
[ཏི་_100_],ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_,ཏི་_100_
[ཀ་ནཱ་_81_],ཀ་ནཱ་_81_,ག་ན་_18_,ག་ན་_18_,ཀ་ནཱ་_81_,ཀ་ནཱ་_81_,ཀ་ནཱ་_81_,ཀ་ནཱ་_81_,ཀ་ནཱ་_81_,ཀ་ནཱ་_81_,ཀ་ནཱ་_81_
[མ་པྲ་ཀ་ར་_63_],མ་པྲ་ཀ་ར་_63_,མ་པྲ་ཀ་ར་_63_,མ་པྲ་ཀ་ར་_63_,མ་བྲ་ཀར་_27_,མ་བྲ་ཀར་_27_,མ་པྲ་ཀ་ར་_63_,མ་བྲ་ཀར་_27_,མ་པྲ་ཀ་ར་_63_,མ་པྲ་ཀ་ར་_63_,མ་པུ་ཀ་ར་_9_
[ཎ_100_],ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_,ཎ_100_
