[ ༄༅། །​_28_], ༄༅། །​_28_, ༄༅། །​_28_, ༄༅། །​_28_,༄༅། །​_28_,༄༅། །​རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ།༄༅། །​_7_,རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ། _7_,༄༅། །​_28_,༄༅༅། །​_7_,༄༅། །​_28_,༄༅། །​_28_,༄༅། །​རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ་བཞུགས་སོ། །​ ༄༅། །​_7_,རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ་ཞེས་བྱ་བ། ༄༅། །​_7_,༄༅༅། །​ _7_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་དུ། བི་གྲ་ཧ་_71_],སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། ལྱེ་ཀྲ་ཧ་_14_,སྐད་དུ། ལྱེ་ཀྲ་ཧ་_14_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། བི་གྲ་ཅིཧ་_7_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད། བག་ཧ་_7_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། བི་གྲ་ཧ་_71_,སྐད་དུ། བི་གྲ་ཧ་_71_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[བརྟ་_100_],བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_,བརྟ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[ཀཱ་_100_],ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_,ཀཱ་_100_
[རི་_100_],རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_
[ཀཱ་ནཱ་མ_92_],ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀ་ནཱམ_7_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_,ཀཱ་ནཱ་མ_92_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
