[༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།༄༅༅། །​_54_],༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།༄༅༅། །​_54_,༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།༄༅༅། །​_54_,༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།༄༅༅། །​_54_,༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།༄༅༅། །​_54_,༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ་ཞེས་བྱ་བ་བཞུགས་སོ། །​ སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད། ༄༅། །​_9_,༄༅༅། །​_9_,༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།༄༅༅། །​_54_,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།  ༄༅༅། །​_9_,སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ༄། །​_9_,༄༅། །​སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ། ༄༅། །​_9_
[རྒྱ་_100_],རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_,རྒྱ་_100_
[གར་_100_],གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_,གར་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[ཙིཏྟ་_100_],ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_,ཙིཏྟ་_100_
[བཛྲ་སྟ་བཾ། _63_],བཛྲ་སྟ་བཾ། _63_,བཛྲ་སྟ་བ། _18_,བཛྲ་སྟ་བ། _18_,བཛྲ་སྟ་བཾ། _63_,བཛྲ་སྟོཏྟྲ། _9_,བཛྲ་སྟ་བཾ། _63_,བཛྲ་སྟ་བཾ། _63_,བཛྲ་སྟ་བཾ། _63_,བཛྲ་སྟ་བཾ། _63_,བཛྲ་སྟ་བཾ །​ _9_
[བོད་_100_],བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_,བོད་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[དུ_100_],དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_,དུ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[རྡོ་_100_],རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_,རྡོ་_100_
[རྗེའི་_100_],རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_,རྗེའི་_100_
[བསྟོད་_100_],བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
